Dengue Serotype,Dengue Protein ,Interaction type,Gene symbol,Human Protein,NCBI,Method ,Details,Author,PUBMED ID/link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,E,Interacts with,6128,RPL6,http://www.ncbi.nlm.nih.gov/gene/6128,yeast Two Hybrid Test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,E,interacts with,84124,ZNF394,http://www.ncbi.nlm.nih.gov/gene/84124,yeast Two Hybrid Test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,E,interacts with,917,CD3G,http://www.ncbi.nlm.nih.gov/gene/917,yeast Two Hybrid Test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,E,Binds to,30835,CD209,http://www.ncbi.nlm.nih.gov/gene/30835,yeast Two Hybrid Test ,Dendritic cell-specific intercellular adhesion molecule 3-grabbing non-integrin (DC-SIGN)-mediated enhancement of dengue virus infection is independent of DC-SIGN internalization signals,Lozach PY et al.,PMID:15855154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,E,enhanced by,30835,CD209,http://www.ncbi.nlm.nih.gov/gene/30835,yeast Two Hybrid Test ,Dendritic cell-specific intercellular adhesion molecule 3-grabbing non-integrin (DC-SIGN)-mediated enhancement of dengue virus infection is independent of DC-SIGN internalization signals,Lozach PY et al.,PMID:15855154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,E,Binds to,3921,RPSA,http://www.ncbi.nlm.nih.gov/gene/3921,yeast Two Hybrid Test ,Serotype-specific entry of dengue virus into liver cells: identification of the 37-kilodalton/67-kilodalton high-affinity laminin receptor as a dengue virus serotype 1 receptor,Thepparit C et al.,"PMID:15507651,PMCID:PMC525075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,E,downregulates,3921,RPSA,http://www.ncbi.nlm.nih.gov/gene/3921,yeast Two Hybrid Test ,Serotype-specific entry of dengue virus into liver cells: identification of the 37-kilodalton/67-kilodalton high-affinity laminin receptor as a dengue virus serotype 1 receptor,Thepparit C et al.,"PMID:15507651,PMCID:PMC525075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,NS1,Interacts with,10541,ANP32B,http://www.ncbi.nlm.nih.gov/gene/10541,yeast Two Hybrid Test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,NS1,Interacts with,8546,AP3B1,http://www.ncbi.nlm.nih.gov/gene/8546,yeast Two Hybrid Test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,NS1,Interacts with,329,BIRC2,http://www.ncbi.nlm.nih.gov/gene/329,yeast Two Hybrid Test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,NS1,Interacts with,259282,BOD1L,http://www.ncbi.nlm.nih.gov/gene/259282,yeast Two Hybrid Test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,NS1,Interacts with,4673,NAP1L1,http://www.ncbi.nlm.nih.gov/gene/4673,yeast Two Hybrid Test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,NS1,Interacts with,10956,OS9,http://www.ncbi.nlm.nih.gov/gene/10956,yeast Two Hybrid Test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,NS1,Interacts with,6232,RPS27,http://www.ncbi.nlm.nih.gov/gene/6232,yeast Two Hybrid Test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,NS1,Interacts with,856095,RRP12,http://www.ncbi.nlm.nih.gov/gene/856095,yeast Two Hybrid Test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,NS1,Interacts with,6280,S100A9,http://www.ncbi.nlm.nih.gov/gene/6280,yeast Two Hybrid Test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,NS3,interacts with,6152,RPL24,http://www.ncbi.nlm.nih.gov/gene/6152,yeast Two Hybrid Test & CO-AP assay,"Identification of New Protein Interactions between Dengue Fever Virus and Its Hosts, Human and Mosquito",Dumrong Mairiang et al.,"PMID:23326450,PMC3543448",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,NS5,Interacts with,10541,ANP32B,http://www.ncbi.nlm.nih.gov/gene/10541,yeast Two Hybrid Test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,NS5,Interacts with,916,CD3E,http://www.ncbi.nlm.nih.gov/gene/916,yeast Two Hybrid Test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,NS5,Interacts with,11151,CORO1A,http://www.ncbi.nlm.nih.gov/gene/11151,yeast Two Hybrid Test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,NS5,Interacts with,4792,NFKBIA,http://www.ncbi.nlm.nih.gov/gene/4792,yeast Two Hybrid Test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,NS5,Interacts with,6201,RPS7,http://www.ncbi.nlm.nih.gov/gene/6201,yeast Two Hybrid Test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C,interacts with,95,ACY1,http://www.ncbi.nlm.nih.gov/gene/95,yeast Two Hybrid Test,Dengue-2 Structural Proteins Associate with Human Proteins to Produce a Coagulation and Innate Immune Response Biased Interactome,Brenda B Folly et al.,PMC3037883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C,interacts with,229,ALDOB,http://www.ncbi.nlm.nih.gov/gene/229, Bacterial Two Hybrid Test,Dengue-2 Structural Proteins Associate with Human Proteins to Produce a Coagulation and Innate Immune Response Biased Interactome,Brenda B Folly et al.,PMC3037883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C,Binds to,1191,CLU,http://www.ncbi.nlm.nih.gov/gene/1191, Bacterial Two Hybrid Test,Dengue-2 Structural Proteins Associate with Human Proteins to Produce a Coagulation and Innate Immune Response Biased Interactome,Brenda B Folly et al.,PMC3037883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C,Upregulates,1191,CLU,http://www.ncbi.nlm.nih.gov/gene/1191, Bacterial Two Hybrid Test,Dengue-2 Structural Proteins Associate with Human Proteins to Produce a Coagulation and Innate Immune Response Biased Interactome,Brenda B Folly et al.,PMC3037883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C,Upregulates,3106,HLAB,http://www.ncbi.nlm.nih.gov/gene/?term=HLAB[sym], Bacterial Two Hybrid Test,Dengue-2 Structural Proteins Associate with Human Proteins to Produce a Coagulation and Innate Immune Response Biased Interactome,Brenda B Folly et al.,PMC3037883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C,downregulates,4155,MBP,http://www.ncbi.nlm.nih.gov/gene/4155, Bacterial Two Hybrid Test,Dengue-2 Structural Proteins Associate with Human Proteins to Produce a Coagulation and Innate Immune Response Biased Interactome,Brenda B Folly et al.,PMC3037883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C,interacts with,9848,MFAP3L,http://www.ncbi.nlm.nih.gov/gene/9848, Bacterial Two Hybrid Test,Dengue-2 Structural Proteins Associate with Human Proteins to Produce a Coagulation and Innate Immune Response Biased Interactome,Brenda B Folly et al.,PMC3037883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C,interacts with,23164,MPRIP,http://www.ncbi.nlm.nih.gov/gene/23164, Bacterial Two Hybrid Test,Dengue-2 Structural Proteins Associate with Human Proteins to Produce a Coagulation and Innate Immune Response Biased Interactome,Brenda B Folly et al.,PMC3037883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C,associates with,23164,MRIP,http://www.ncbi.nlm.nih.gov/gene/23164, Bacterial Two Hybrid Test,Dengue-2 Structural Proteins Associate with Human Proteins to Produce a Coagulation and Innate Immune Response Biased Interactome,Brenda B Folly et al.,PMC3037883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C,Interacts  with,654790,PCP4L1,http://www.ncbi.nlm.nih.gov/gene/654790, Bacterial Two Hybrid Test,Dengue-2 Structural Proteins Associate with Human Proteins to Produce a Coagulation and Innate Immune Response Biased Interactome,Brenda B Folly et al.,PMC3037883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C,interacts with,25769,SLC24A2,http://www.ncbi.nlm.nih.gov/gene/25769, Bacterial Two Hybrid Test,Dengue-2 Structural Proteins Associate with Human Proteins to Produce a Coagulation and Innate Immune Response Biased Interactome,Brenda B Folly et al.,PMC3037883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C,interacts with,7846,TUBA1A,http://www.ncbi.nlm.nih.gov/gene/7846, Bacterial Two Hybrid Test,Dengue-2 Structural Proteins Associate with Human Proteins to Produce a Coagulation and Innate Immune Response Biased Interactome,Brenda B Folly et al.,PMC3037883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C,Interacts with,51009,DERL2,http://www.ncbi.nlm.nih.gov/gene/51009,Yeast Two Hybrid Test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C,Interacts with,2332,FMR1,http://www.ncbi.nlm.nih.gov/gene/2332,yeast Two Hybrid Test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C,Interacts with,3615,IMPDH2,http://www.ncbi.nlm.nih.gov/gene/3615,yeast Two Hybrid Test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C,Interacts with,5700,PSMC1,http://www.ncbi.nlm.nih.gov/gene/5700,yeast Two Hybrid Test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C,interacts with,3043,HBB,http://www.ncbi.nlm.nih.gov/gene/3043,Structural Similarity,"Identification of New Protein Interactions between Dengue Fever Virus and Its Hosts, Human and Mosquito",Dumrong Mairiang et al.,"PMID:23326450,PMC3543448",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C,Binds to,348,APOE,http://www.ncbi.nlm.nih.gov/gene/348,yeast Two Hybrid Test ,Dengue virus capsid protein interacts specifically with very low-density lipoproteins.,Faustino AF1 et al.,PMID: 23792329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C,mediates,3836,KPNA1,http://www.ncbi.nlm.nih.gov/gene/3836,Structural Similarity,A Viral-Human Interactome Based on Structural Motif-Domain Interactions Captures the Human Infectome,Segura-Cabrera A et al.,"PMID:23951184,PMCID:PMC3738538",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C,Binds to,8338,H2A,http://www.ncbi.nlm.nih.gov/gene/8338,yeast Two Hybrid Test ,Dengue Virus Capsid Protein Binds Core Histones and Inhibits Nucleosome Formation in Human Liver Cells,Tonya M. Colpitts et al.,"PMID:21909430,PMC3164731
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C,Binds to,8349,H2B,http://www.ncbi.nlm.nih.gov/gene/8349,"yeast Two Hybrid Test & Affinity chromatography
technology",Dengue Virus Capsid Protein Binds Core Histones and Inhibits Nucleosome Formation in Human Liver Cells,Tonya M. Colpitts et al.,"PMID:21909430,PMC3164731
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C,Binds to,126961,H3,http://www.ncbi.nlm.nih.gov/gene/126961,yeast Two Hybrid Test ,Dengue Virus Capsid Protein Binds Core Histones and Inhibits Nucleosome Formation in Human Liver Cells,Tonya M. Colpitts et al.,"PMID:21909430,PMC3164731
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C,Binds to,59340,H4,http://www.ncbi.nlm.nih.gov/gene/59340,"yeast Two Hybrid Test & Affinity chromatography
technology",Dengue Virus Capsid Protein Binds Core Histones and Inhibits Nucleosome Formation in Human Liver Cells,Tonya M. Colpitts et al.,"PMID:21909430,PMC3164731
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,E,interacts with,9826,ARHGEF11,http://www.ncbi.nlm.nih.gov/gene/9826, Bacterial Two Hybrid Test,Dengue-2 Structural Proteins Associate with Human Proteins to Produce a Coagulation and Innate Immune Response Biased Interactome,Brenda B Folly et al.,PMC3037883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,E,interacts with,570,BAAT,http://www.ncbi.nlm.nih.gov/gene/570, Bacterial Two Hybrid Test,Dengue-2 Structural Proteins Associate with Human Proteins to Produce a Coagulation and Innate Immune Response Biased Interactome,Brenda B Folly et al.,PMC3037883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,E,interacts with,1193,CLIC2,http://www.ncbi.nlm.nih.gov/gene/1193, Bacterial Two Hybrid Test,Dengue-2 Structural Proteins Associate with Human Proteins to Produce a Coagulation and Innate Immune Response Biased Interactome,Brenda B Folly et al.,PMC3037883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,E,Interacts with,2157,F8,http://www.ncbi.nlm.nih.gov/gene/2157, Bacterial Two Hybrid Test,Dengue-2 Structural Proteins Associate with Human Proteins to Produce a Coagulation and Innate Immune Response Biased Interactome,Brenda B Folly et al.,PMC3037883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,E,associates with,3263,HPX,http://www.ncbi.nlm.nih.gov/gene/3263, Bacterial Two Hybrid Test,Dengue-2 Structural Proteins Associate with Human Proteins to Produce a Coagulation and Innate Immune Response Biased Interactome,Brenda B Folly et al.,PMC3037883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,E,Binds to,3263,HPX,http://www.ncbi.nlm.nih.gov/gene/3263, Bacterial Two Hybrid Test,Dengue-2 Structural Proteins Associate with Human Proteins to Produce a Coagulation and Innate Immune Response Biased Interactome,Brenda B Folly et al.,PMC3037883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,E,associates with,9670,IPO13,http://www.ncbi.nlm.nih.gov/gene/9670, Bacterial Two Hybrid Test,Dengue-2 Structural Proteins Associate with Human Proteins to Produce a Coagulation and Innate Immune Response Biased Interactome,Brenda B Folly et al.,PMC3037883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,E,associates with,4900,NRGN,http://www.ncbi.nlm.nih.gov/gene/4900, Bacterial Two Hybrid Test,Dengue-2 Structural Proteins Associate with Human Proteins to Produce a Coagulation and Innate Immune Response Biased Interactome,Brenda B Folly et al.,PMC3037883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,E,Binds to,5340,PLG,http://www.ncbi.nlm.nih.gov/gene/5340, Bacterial Two Hybrid Test,Dengue-2 Structural Proteins Associate with Human Proteins to Produce a Coagulation and Innate Immune Response Biased Interactome,Brenda B Folly et al.,PMC3037883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,E,Interacts with,4550,RNR2,http://www.ncbi.nlm.nih.gov/gene/4550, Bacterial Two Hybrid Test,Dengue-2 Structural Proteins Associate with Human Proteins to Produce a Coagulation and Innate Immune Response Biased Interactome,Brenda B Folly et al.,PMC3037883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,E,downregulates,22902,RUFY3,http://www.ncbi.nlm.nih.gov/gene/22902, Bacterial Two Hybrid Test,Dengue-2 Structural Proteins Associate with Human Proteins to Produce a Coagulation and Innate Immune Response Biased Interactome,Brenda B Folly et al.,PMC3037883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,E,Interacts with,55234,SMU1,http://www.ncbi.nlm.nih.gov/gene/55234, Bacterial Two Hybrid Test,Dengue-2 Structural Proteins Associate with Human Proteins to Produce a Coagulation and Innate Immune Response Biased Interactome,Brenda B Folly et al.,PMC3037883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,E,Interacts with,7111,TMOD1,http://www.ncbi.nlm.nih.gov/gene/7111, Bacterial Two Hybrid Test,Dengue-2 Structural Proteins Associate with Human Proteins to Produce a Coagulation and Innate Immune Response Biased Interactome,Brenda B Folly et al.,PMC3037883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,E,suppresed by,929,CD14,http://www.ncbi.nlm.nih.gov/gene/929,Yeast Two Hybrid Test ,Bacterial lipopolysaccharide inhibits dengue virus infection of primary human monocytes/macrophages by blockade of virus entry via a CD14-dependent mechanism.,Chen YC et al.,"PMID:10074110,PMCID: PMC104020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,E,Interacts with,23560,GTPBP4,http://www.ncbi.nlm.nih.gov/gene/23560,yeast Two Hybrid Test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,E,interacts with,1654,DDX3X,http://www.ncbi.nlm.nih.gov/gene/1654,yeast Two Hybrid Test ,"Identification of New Protein Interactions between Dengue Fever Virus and Its Hosts, Human and Mosquito",Dumrong Mairiang et al.,"PMID:23326450,PMC3543448",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,E,interacts with,596,BCL2,http://www.ncbi.nlm.nih.gov/gene/596,yeast Two Hybrid Test ,Mapping Protein Interactions between Dengue Virus and Its Human and Insect Hosts,"Janet M. Doolittle,Shawn M. Gomez",DOI: 10.1371/journal.pntd.0000954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,E,interacts with,598,BCL2L1,http://www.ncbi.nlm.nih.gov/gene/598,yeast Two Hybrid Test ,Mapping Protein Interactions between Dengue Virus and Its Human and Insect Hosts,"Janet M. Doolittle,Shawn M. Gomez",DOI: 10.1371/journal.pntd.0000954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,E,interacts with,811,CALR,http://www.ncbi.nlm.nih.gov/gene/811,yeast Two Hybrid Test ,Mapping Protein Interactions between Dengue Virus and Its Human and Insect Hosts,"Janet M. Doolittle,Shawn M. Gomez",DOI: 10.1371/journal.pntd.0000954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,E,interacts with,821,CANX,http://www.ncbi.nlm.nih.gov/gene/821,yeast Two Hybrid Test ,Mapping Protein Interactions between Dengue Virus and Its Human and Insect Hosts,"Janet M. Doolittle,Shawn M. Gomez",DOI: 10.1371/journal.pntd.0000954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,E,interacts with,3309,HSPA5,http://www.ncbi.nlm.nih.gov/gene/3309,yeast Two Hybrid Test ,Mapping Protein Interactions between Dengue Virus and Its Human and Insect Hosts,"Janet M. Doolittle,Shawn M. Gomez",DOI: 10.1371/journal.pntd.0000954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,E,inactives,6772,STAT1,http://www.ncbi.nlm.nih.gov/gene/6772,yeast Two Hybrid Test ,Mapping Protein Interactions between Dengue Virus and Its Human and Insect Hosts,"Janet M. Doolittle,Shawn M. Gomez",DOI: 10.1371/journal.pntd.0000954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,E,inactives,6774,STAT3,http://www.ncbi.nlm.nih.gov/gene/6774,yeast Two Hybrid Test ,Mapping Protein Interactions between Dengue Virus and Its Human and Insect Hosts,"Janet M. Doolittle,Shawn M. Gomez",DOI: 10.1371/journal.pntd.0000954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,E,decreases phosphorylation of,7297,TYK2,http://www.ncbi.nlm.nih.gov/gene/7297,yeast Two Hybrid Test ,Mapping Protein Interactions between Dengue Virus and Its Human and Insect Hosts,"Janet M. Doolittle,Shawn M. Gomez",DOI: 10.1371/journal.pntd.0000954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,E,interacts with,7535,ZAP70,http://www.ncbi.nlm.nih.gov/gene/7535,yeast Two Hybrid Test ,Mapping Protein Interactions between Dengue Virus and Its Human and Insect Hosts,"Janet M. Doolittle,Shawn M. Gomez",DOI: 10.1371/journal.pntd.0000954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,E,Binds to,3309,HSPA5,http://www.ncbi.nlm.nih.gov/gene/3309,yeast Two Hybrid Test ,Identification of GRP 78 (BiP) as a liver cell expressed receptor element for dengue virus serotype 2,Jindadamrongwech S et al.,PMID:15098107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,E,Binds to,811,CALR,http://www.ncbi.nlm.nih.gov/gene/811,yeast Two Hybrid Test ,Interaction of dengue virus envelope protein with endoplasmic reticulum-resident chaperones facilitates dengue virus production,Limjindaporn T et al.,PMID:19105951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,E,interacts with,7329,UBE2I,http://www.ncbi.nlm.nih.gov/gene/7329,In Vitro Pull Down Assay,The type 2 dengue virus envelope protein interacts with small ubiquitin-like modifier-1 (SUMO-1) conjugating enzyme 9 (Ubc9),Mei-Wui Chiu et al.,PMID:17265167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,E,interacts with,3308,HSP70/HSPA4,http://www.ncbi.nlm.nih.gov/gene/3308,yeast Two Hybrid Test ,Heat shock protein 90 and heat shock protein 70 are components of dengue virus receptor complex in human cells.,Reyes-del Valle J et al.,"PMID:15795242,PMCID:PMC1069525",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,E,interacts with,3320,HSP90AA1,http://www.ncbi.nlm.nih.gov/gene/3320,yeast Two Hybrid Test ,Heat shock protein 90 and heat shock protein 70 are components of dengue virus receptor complex in human cells.,Reyes-del Valle J et al.,"PMID:15795242,PMCID:PMC1069525",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,E,interacts with,3308,HSPA4,http://www.ncbi.nlm.nih.gov/gene/3326,yeast Two Hybrid Test ,Heat shock protein 90 and heat shock protein 70 are components of dengue virus receptor complex in human cells.,Reyes-del Valle J et al.,"PMID:15795242,PMCID:PMC1069525",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,E,regulates,3586,IL10,http://www.ncbi.nlm.nih.gov/gene/3586,yeast Two Hybrid Test ,Antibody-Dependent Enhancement Infection Facilitates Dengue Virus-Regulated Signaling of IL-10 Production in Monocytes,Tsung-Ting Tsai et al.,"PMID:25412261,PMCID:PMC4239119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
