Dengue Serotype,Dengue Protein ,Interaction type,Mosquito protein,Gene Symbol,NCBI,Method,Details,Author,Pubmed ID 
2,E,interacts with,AAEL010974,5574157,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL010974,Yeast Two hybrid test,Protein-protein interactions between A. aegypti midgut and dengue virus 2: two-hybrid screens using the midgut cDNA library,Hong-Wai Tham ET AL.,PMID:26719940
2,NS1,interacts with,AAEL000393,5576330,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL000393,Yeast Two hybrid test,Protein-protein interactions between A. aegypti midgut and dengue virus 2: two-hybrid screens using the midgut cDNA library,Hong-Wai Tham ET AL.,PMID:26719940
2,NS1,interacts with,AAEL001872,5572644,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL001872,Yeast Two hybrid test,Protein-protein interactions between A. aegypti midgut and dengue virus 2: two-hybrid screens using the midgut cDNA library,Hong-Wai Tham ET AL.,PMID:26719940
2,NS1,interacts with,AAEL002827,5576214,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL002827,Yeast Two hybrid test,Protein-protein interactions between A. aegypti midgut and dengue virus 2: two-hybrid screens using the midgut cDNA library,Hong-Wai Tham ET AL.,PMID:26719940
2,NS1,interacts with,AAEL003393,5577999,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL003393,Yeast Two hybrid test,Protein-protein interactions between A. aegypti midgut and dengue virus 2: two-hybrid screens using the midgut cDNA library,Hong-Wai Tham ET AL.,PMID:26719940
2,NS1,interacts with,AAEL003582,5578625,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL003582,Yeast Two hybrid test,Protein-protein interactions between A. aegypti midgut and dengue virus 2: two-hybrid screens using the midgut cDNA library,Hong-Wai Tham ET AL.,PMID:26719940
2,NS1,interacts with,AAEL004493,5564920,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL004493,Yeast Two hybrid test,Protein-protein interactions between A. aegypti midgut and dengue virus 2: two-hybrid screens using the midgut cDNA library,Hong-Wai Tham ET AL.,PMID:26719940
2,NS1,interacts with,AAEL004869,5565616,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL004869,Yeast Two hybrid test,Protein-protein interactions between A. aegypti midgut and dengue virus 2: two-hybrid screens using the midgut cDNA library,Hong-Wai Tham ET AL.,PMID:26719940
2,NS1,interacts with,AAEL005732,5566975,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL005732,Yeast Two hybrid test,Protein-protein interactions between A. aegypti midgut and dengue virus 2: two-hybrid screens using the midgut cDNA library,Hong-Wai Tham ET AL.,PMID:26719940
2,NS1,interacts with,AAEL007683,5569510,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL007683,Yeast Two hybrid test,Protein-protein interactions between A. aegypti midgut and dengue virus 2: two-hybrid screens using the midgut cDNA library,Hong-Wai Tham ET AL.,PMID:26719940
2,NS1,interacts with,AAEL007948,5569857,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL007948,Yeast Two hybrid test,Protein-protein interactions between A. aegypti midgut and dengue virus 2: two-hybrid screens using the midgut cDNA library,Hong-Wai Tham ET AL.,PMID:26719940
2,NS1,interacts with,AAEL008169,5570208,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL008169,Yeast Two hybrid test,Protein-protein interactions between A. aegypti midgut and dengue virus 2: two-hybrid screens using the midgut cDNA library,Hong-Wai Tham ET AL.,PMID:26719940
2,NS1,interacts with,AAEL008481,5570675,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL008481,Yeast Two hybrid test,Protein-protein interactions between A. aegypti midgut and dengue virus 2: two-hybrid screens using the midgut cDNA library,Hong-Wai Tham ET AL.,PMID:26719940
2,NS1,interacts with,AAEL012713,5576684,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL012713,Yeast Two hybrid test,Protein-protein interactions between A. aegypti midgut and dengue virus 2: two-hybrid screens using the midgut cDNA library,Hong-Wai Tham ET AL.,PMID:26719940
2,NS1,interacts with,AAEL012947,5577033,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL012947,Yeast Two hybrid test,Protein-protein interactions between A. aegypti midgut and dengue virus 2: two-hybrid screens using the midgut cDNA library,Hong-Wai Tham ET AL.,PMID:26719940
2,NS1,interacts with,AAEL015740,,,Yeast Two hybrid test,Protein-protein interactions between A. aegypti midgut and dengue virus 2: two-hybrid screens using the midgut cDNA library,Hong-Wai Tham ET AL.,PMID:26719940
2,NS1,interacts with,AAEL015803,5577825,http://www.ncbi.nlm.nih.gov/gene/5577825,Yeast Two hybrid test,Protein-protein interactions between A. aegypti midgut and dengue virus 2: two-hybrid screens using the midgut cDNA library,Hong-Wai Tham ET AL.,PMID:26719940
2,PrM/M,interacts with,AAEL000511,5578456,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL000511,Yeast Two hybrid test,Protein-protein interactions between A. aegypti midgut and dengue virus 2: two-hybrid screens using the midgut cDNA library,Hong-Wai Tham ET AL.,PMID:26719940
2,PrM/M,interacts with,AAEL000987,5567848,www.ncbi.nlm.nih.gov/gene/?term=AAEL000987,Yeast Two hybrid test,Protein-protein interactions between A. aegypti midgut and dengue virus 2: two-hybrid screens using the midgut cDNA library,Hong-Wai Tham ET AL.,PMID:26719940
2,PrM/M,interacts with,AAEL004493,5564920,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL004493,Yeast Two hybrid test,Protein-protein interactions between A. aegypti midgut and dengue virus 2: two-hybrid screens using the midgut cDNA library,Hong-Wai Tham ET AL.,PMID:26719940
2,PrM/M,interacts with,AAEL005097,5565979,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL005097,Yeast Two hybrid test,Protein-protein interactions between A. aegypti midgut and dengue virus 2: two-hybrid screens using the midgut cDNA library,Hong-Wai Tham ET AL.,PMID:26719940
2,PrM/M,interacts with,AAEL005374,5566411,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL005374,Yeast Two hybrid test,Protein-protein interactions between A. aegypti midgut and dengue virus 2: two-hybrid screens using the midgut cDNA library,Hong-Wai Tham ET AL.,PMID:26719940
2,PrM/M,interacts with,AAEL005508,5566654,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL005508,Yeast Two hybrid test,Protein-protein interactions between A. aegypti midgut and dengue virus 2: two-hybrid screens using the midgut cDNA library,Hong-Wai Tham ET AL.,PMID:26719940
2,PrM/M,interacts with,AAEL005981,5579869,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL005981,Yeast Two hybrid test,Protein-protein interactions between A. aegypti midgut and dengue virus 2: two-hybrid screens using the midgut cDNA library,Hong-Wai Tham ET AL.,PMID:26719940
2,PrM/M,interacts with,AAEL006447,5568000,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL006447,Yeast Two hybrid test,Protein-protein interactions between A. aegypti midgut and dengue virus 2: two-hybrid screens using the midgut cDNA library,Hong-Wai Tham ET AL.,PMID:26719940
2,PrM/M,interacts with,AAEL007649,5569478,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL007649,Yeast Two hybrid test,Protein-protein interactions between A. aegypti midgut and dengue virus 2: two-hybrid screens using the midgut cDNA library,Hong-Wai Tham ET AL.,PMID:26719940
2,PrM/M,interacts with,AAEL007696,5569526,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL007696,Yeast Two hybrid test,Protein-protein interactions between A. aegypti midgut and dengue virus 2: two-hybrid screens using the midgut cDNA library,Hong-Wai Tham ET AL.,PMID:26719940
2,PrM/M,interacts with,AAEL007818,5569681,http://www.ncbi.nlm.nih.gov/gene/5569681,Yeast Two hybrid test,Protein-protein interactions between A. aegypti midgut and dengue virus 2: two-hybrid screens using the midgut cDNA library,Hong-Wai Tham ET AL.,PMID:26719940
2,PrM/M,interacts with,AAEL007974,5569876,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL007974,Yeast Two hybrid test,Protein-protein interactions between A. aegypti midgut and dengue virus 2: two-hybrid screens using the midgut cDNA library,Hong-Wai Tham ET AL.,PMID:26719940
2,PrM/M,interacts with,AAEL008599,5570825,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL008599,Yeast Two hybrid test,Protein-protein interactions between A. aegypti midgut and dengue virus 2: two-hybrid screens using the midgut cDNA library,Hong-Wai Tham ET AL.,PMID:26719940
2,PrM/M,interacts with,AAEL009588,5572177,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL009588,Yeast Two hybrid test,Protein-protein interactions between A. aegypti midgut and dengue virus 2: two-hybrid screens using the midgut cDNA library,Hong-Wai Tham ET AL.,PMID:26719940
2,PrM/M,interacts with,AAEL009888,5572566,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL009888,Yeast Two hybrid test,Protein-protein interactions between A. aegypti midgut and dengue virus 2: two-hybrid screens using the midgut cDNA library,Hong-Wai Tham ET AL.,PMID:26719940
2,PrM/M,interacts with,AAEL011282,5574643,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL011282,Yeast Two hybrid test,Protein-protein interactions between A. aegypti midgut and dengue virus 2: two-hybrid screens using the midgut cDNA library,Hong-Wai Tham ET AL.,PMID:26719940
2,PrM/M,interacts with,AAEL012781,5576793,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL012781,Yeast Two hybrid test,Protein-protein interactions between A. aegypti midgut and dengue virus 2: two-hybrid screens using the midgut cDNA library,Hong-Wai Tham ET AL.,PMID:26719940
2,PrM/M,interacts with,AAEL015740,,,Yeast Two hybrid test,Protein-protein interactions between A. aegypti midgut and dengue virus 2: two-hybrid screens using the midgut cDNA library,Hong-Wai Tham ET AL.,PMID:26719940
3,C,interacts with,AAEL002508,5574980,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL002508,Yeast Two hybrid test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/551
3,C,interacts with,AAEL004100,5564132,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL004100,Yeast Two hybrid test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/551
3,C,interacts with,AAEL004869,5565616,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL004869,Yeast Two hybrid test,"Identification of New Protein Interactions between Dengue Fever Virus and Its Hosts, Human and Mosquito",Dumrong Mairiang et al.,"PMID:23326450,PMC3543448"
4,C,interacts with,AAEL000136,5567794,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL000136,,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/552
4,E,interacts with,AAEL001553,5571273,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL001553,Yeast Two hybrid test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/551
0,,,,,,,,,
"1,2",C,interacts with,AAEL002565,5580168,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL002565,Yeast Two hybrid test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/551
"1,2",C,interacts with,AAEL005165,5566087,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL005165,Yeast Two hybrid test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/551
"1,2",C,interacts with,AAEL007850,5569719,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL007850,Yeast Two hybrid test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/551
"1,2",C,interacts with,AAEL008700,5570968,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL008700,Yeast Two hybrid test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/551
"1,2",C,interacts with,AAEL012686,5576653,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL012686,Yeast Two hybrid test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/551
"1,2",E,interacts with,AAEL004316,5564548,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL004316,Yeast Two hybrid test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/551
"1,2",E,interacts with,AAEL006572,5568132,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL006572,Yeast Two hybrid test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/551
"1,2",E,interacts with,AAEL009357,5571874,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL009357,Yeast Two hybrid test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/551
"1,2",E,interacts with,AAEL010266,5573080,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL010266,Yeast Two hybrid test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/551
"1,2",E,interacts with,AAEL012527,5576438,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL012527,Yeast Two hybrid test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/551
"1,2",E,interacts with,AAEL012827,5576841,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL012827,Yeast Two hybrid test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/551
"1,2",E,interacts with,AAEL013583,5578243,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL013583,Yeast Two hybrid test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/551
"1,2",NS3,interacts with,AAEL000950,5567469,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL000950,Yeast Two hybrid test,"Identification of New Protein Interactions between Dengue Fever Virus and Its Hosts, Human and Mosquito",Dumrong Mairiang et al.,"PMID:23326450,PMC3543448"
"1,2",NS3,interacts with,AAEL002572,5580173,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL002572,Yeast Two hybrid test,"Identification of New Protein Interactions between Dengue Fever Virus and Its Hosts, Human and Mosquito",Dumrong Mairiang et al.,"PMID:23326450,PMC3543448"
"1,2",NS5,interacts with,AAEL000436,5577326,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL000436,Yeast Two hybrid test,"Identification of New Protein Interactions between Dengue Fever Virus and Its Hosts, Human and Mosquito",Dumrong Mairiang et al.,"PMID:23326450,PMC3543448"
"1,2",NS5,interacts with,AAEL000951,5567491,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL000951,Yeast Two hybrid test,"Identification of New Protein Interactions between Dengue Fever Virus and Its Hosts, Human and Mosquito",Dumrong Mairiang et al.,"PMID:23326450,PMC3543448"
"1,2",NS5,interacts with,AAEL005037,5565854,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL005037,Yeast Two hybrid test,"Identification of New Protein Interactions between Dengue Fever Virus and Its Hosts, Human and Mosquito",Dumrong Mairiang et al.,"PMID:23326450,PMC3543448"
"1,2",NS5,interacts with,AAEL005524,5579820,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL005524,Yeast Two hybrid test,"Identification of New Protein Interactions between Dengue Fever Virus and Its Hosts, Human and Mosquito",Dumrong Mairiang et al.,"PMID:23326450,PMC3543448"
"1,2",NS5,interacts with,AAEL008700,5570968,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL008700,Yeast Two hybrid test,"Identification of New Protein Interactions between Dengue Fever Virus and Its Hosts, Human and Mosquito",Dumrong Mairiang et al.,"PMID:23326450,PMC3543448"
"1,2",NS5,interacts with,AAEL010005,5572728,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL010005,Yeast Two hybrid test,"Identification of New Protein Interactions between Dengue Fever Virus and Its Hosts, Human and Mosquito",Dumrong Mairiang et al.,"PMID:23326450,PMC3543448"
"1,2",NS5,interacts with,AAEL010012,5572735,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL010012,Yeast Two hybrid test,"Identification of New Protein Interactions between Dengue Fever Virus and Its Hosts, Human and Mosquito",Dumrong Mairiang et al.,"PMID:23326450,PMC3543448"
"1,2",NS5,interacts with,AAEL011988,5575675,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL011988,Yeast Two hybrid test,"Identification of New Protein Interactions between Dengue Fever Virus and Its Hosts, Human and Mosquito",Dumrong Mairiang et al.,"PMID:23326450,PMC3543448"
